"mode","A","sigma_gp","arm","d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
"adversarial",20,1,"SD",3,1,0.8,0.95,0.0249390117816242,0.00484603500533443,0.0277281950031275,0.899409852635964,0.858
"adversarial",20,1,"legacy",0,2,0.9,1,0.0209041152638845,-0.00550498597213759,0.0271833429562567,0.769004581133504,0.86
"adversarial",20,1,"SD",3,2,0.9,1,0.0207014894288975,-0.00609487643900378,0.026692995165376,0.775540148291406,0.838
"adversarial",20,1,"legacy",0,3,0.65,0.95,0.0300289129129969,0.00638604637453418,0.0292458105748654,1.02677656466819,0.86
"adversarial",20,1,"SD",3,3,0.65,0.95,0.0306391422775155,0.00768559346969437,0.0287101769126448,1.06718751231453,0.868
"adversarial",20,1,"legacy",0,4,0.65,0.8,0.0345070103787762,0.000635524817721041,0.028427740334239,1.21384992169832,0.866
"adversarial",20,1,"SD",3,4,0.65,0.85,0.0337915005662954,-0.00164393656807974,0.0270314165756227,1.25008249093276,0.872
"adversarial",20,1,"legacy",0,5,0.95,1,0.0190916384485086,0.000901879279962598,0.0282091312388343,0.67678930935051,0.868
"adversarial",20,1,"SD",3,5,0.9,1,0.0181088334554751,0.000482238534276947,0.0279579578156881,0.647716602723884,0.896
"adversarial",20,1,"legacy",0,6,0.75,0.8,0.0386068379524961,0.00638193565691125,0.0288936385336427,1.33617086361566,0.874
"adversarial",20,1,"SD",3,6,0.75,0.8,0.0365630404150376,0.00929884911237703,0.0295199154233863,1.23858892854658,0.874
"adversarial",20,1,"legacy",0,7,0.75,0.95,0.0335313406796782,-0.0062981553015757,0.0289921966426532,1.15656433670662,0.866
"adversarial",20,1,"SD",3,7,0.8,0.95,0.036384514652367,-0.00530174679571314,0.0289299338360037,1.25767707795743,0.884
"adversarial",20,1,"legacy",0,8,0.8,0.9,0.0277386514140325,0.0058495282914397,0.0273982671651912,1.01242356849756,0.828
"adversarial",20,1,"SD",3,8,0.75,0.95,0.0299022703170669,0.00838928080353315,0.0274503441461741,1.089322237923,0.836
"adversarial",20,1,"legacy",0,9,0.842105263157895,0.947368421052632,0.0291811351360642,0.00735821347332539,0.0291175010262365,1.00218542483334,0.858
"adversarial",20,1,"SD",3,9,0.842105263157895,1,0.0233199438783344,0.00671227169898773,0.0279662869817123,0.833859135236071,0.884
"adversarial",20,1,"legacy",0,10,0.85,0.95,0.0208513242402244,0.0013945159559747,0.0266898332495524,0.781245954040348,0.874
"adversarial",20,1,"SD",3,10,0.8,0.95,0.0200790386833251,0.00144519188666066,0.0266503754959194,0.753424231729848,0.896
"adversarial",20,1,"legacy",0,11,1,1,0.0158213870240202,0.00437409564038592,0.0263938674680127,0.599434207328444,0.874
"adversarial",20,1,"SD",3,11,0.95,1,0.0178289190062188,0.00552280072091602,0.0268289985981511,0.66453911580015,0.876
"adversarial",20,1,"legacy",0,12,0.9,0.95,0.026027835257975,-0.00161103323059314,0.0296995813892008,0.876370441619728,0.87
"adversarial",20,1,"SD",3,12,0.95,0.95,0.0245889754302801,-0.00125025796228625,0.0296492567397523,0.829328561120807,0.886
