"mode","A","sigma_gp","arm","n_rep","admin_cov80","admin_cov80_se","admin_cov95","admin_bias","admin_abs_bias","admin_post_sd","admin_ratio","pixel_cov80"
"adversarial",20,0.5,"legacy",12,0.78246,0.02157,0.93706,0.0013,0.00608,0.02869,0.9906,0.86633
"adversarial",20,0.5,"SD",12,0.81557,0.02361,0.92478,0.00192,0.00511,0.02842,0.98388,0.86433
"adversarial",20,1,"legacy",12,0.82018,0.03161,0.92895,0.00198,0.00422,0.02819,0.94718,0.86033
"adversarial",20,1,"SD",12,0.81184,0.02953,0.94583,0.00251,0.00489,0.02793,0.94222,0.87233
"adversarial",20,1.5,"legacy",12,0.82061,0.03658,0.93333,0.00114,0.00285,0.02656,0.95191,0.86417
"adversarial",20,1.5,"SD",12,0.80373,0.03272,0.92083,0.00116,0.00235,0.02653,0.93883,0.8705
