"d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
0,1,0.7,0.95,0.0336299542658901,0.0094842349846408,0.0285525965963797,1.17782472611105,0.846
1,1,0.7,0.8,0.0328823891774154,0.0113385426762991,0.0286565118432865,1.14746656387347,0.852
2,1,0.75,0.9,0.0316377277746906,0.00963699931747985,0.0292364581116856,1.08213271436068,0.87
3,1,0.75,0.85,0.0340952518973649,0.0108348945287844,0.0280089113379618,1.21730014729826,0.838
4,1,0.75,0.9,0.033501595142618,0.0110728109675453,0.0284829329433243,1.17619892618783,0.862
0,2,0.75,1,0.0237512165145172,-0.0133326594649483,0.0269679458116527,0.880720269923355,0.846
1,2,0.8,0.95,0.0229374164949215,-0.01439670321308,0.0263393194969541,0.870843170324657,0.83
2,2,0.8,1,0.0249262963242374,-0.0136429745231755,0.0266866614069585,0.934035769560066,0.854
3,2,0.8,1,0.0247531229980143,-0.0131477485224057,0.0262723353015632,0.942174447527759,0.818
4,2,0.85,1,0.020860360240974,-0.0143210286169617,0.025935230181142,0.804325240041323,0.856
0,3,0.7,0.9,0.0334523917243614,0.00825868467285069,0.0295323755236033,1.13273623036606,0.886
1,3,0.8,0.95,0.0321616169665631,0.00912140611315335,0.0299222700824993,1.07483880326893,0.876
2,3,0.75,0.85,0.0335294774299392,0.00886033718219547,0.0300838382368488,1.11453456058243,0.882
3,3,0.7,0.9,0.0324266340246917,0.0057020034624577,0.0295428047182173,1.09761528514238,0.866
4,3,0.75,0.9,0.03162905211195,0.00751092312952368,0.0294176214663557,1.07517367262759,0.886
0,4,0.8,0.95,0.0273141689097013,-0.00278662551322272,0.0292893031010602,0.932564657324081,0.862
1,4,0.9,1,0.0226530239067048,-0.00251686186288921,0.0299929653125477,0.755277901689425,0.862
2,4,0.8,0.95,0.0286151775635192,-0.00382968468818734,0.0282326717351212,1.01354833973868,0.862
3,4,0.9,0.9,0.024688764019775,-0.000822606013557177,0.0291108968512674,0.848093555685147,0.854
4,4,0.9,0.95,0.0250782769754218,-0.00158606213527405,0.0292775336273551,0.856570682989165,0.868
0,5,0.95,0.95,0.0216689406273858,0.0119986884774397,0.0302118520688374,0.717233110304303,0.892
1,5,0.95,1,0.0181835811987651,0.00963349697031559,0.0291882730591672,0.622975575221781,0.876
2,5,1,1,0.0179176603102539,0.0100812114377924,0.0297343787961349,0.602590705967028,0.886
3,5,0.95,0.95,0.0200558916449146,0.00975276619951593,0.0286388722103134,0.700303122889459,0.888
4,5,0.9,1,0.017622058765869,0.00962176312067759,0.0274736868017388,0.641415871595135,0.892
0,6,0.75,0.95,0.0327859389925893,0.00577899089141718,0.029502186642002,1.11130538866269,0.868
1,6,0.75,0.95,0.0340100498458471,0.00695960966642695,0.0300728845958071,1.13092077141775,0.866
2,6,0.75,0.95,0.0322998884149593,0.00773987054470064,0.029580174362887,1.0919438140799,0.89
