"mode","A","sigma_gp","arm","d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
"scale",40,0.5,"SD",3,5,0.825,0.975,0.0305689543169873,0.00796750635118426,0.0356747353843828,0.856879637301228,0.888
"scale",40,0.5,"legacy",0,6,0.85,0.95,0.0376033775216521,0.00126357049239781,0.0370694298313481,1.01440398983025,0.868
"scale",40,0.5,"SD",3,6,0.825,0.95,0.0393098275979254,0.0021075711700328,0.037124942786115,1.05885220684104,0.884
"scale",40,0.5,"legacy",0,7,0.85,0.925,0.0341177215558347,-0.00743929656137225,0.0384102821649781,0.88824449165184,0.854
"scale",40,0.5,"SD",3,7,0.9,0.925,0.0311313915099179,-0.00634810686249614,0.0377744184243902,0.824139531684146,0.874
"scale",40,0.5,"legacy",0,8,0.65,0.85,0.0458664561238163,0.00588086822596704,0.0359809301107045,1.27474348169145,0.848
"scale",40,0.5,"SD",3,8,0.675,0.9,0.0435258879117313,0.00624574248369382,0.0356777768648125,1.21997197517817,0.862
"scale",40,0.5,"legacy",0,9,0.825,0.95,0.0320808223518646,0.00142037292596,0.0369425489711786,0.868397640262807,0.864
"scale",40,0.5,"SD",3,9,0.85,0.975,0.0309582707721697,0.003674709319524,0.0362596142303983,0.853794819091477,0.864
"scale",40,0.5,"legacy",0,10,0.85,0.95,0.0361768502586699,0.000458740150425621,0.037843860983971,0.9559502999441,0.896
"scale",40,0.5,"SD",3,10,0.85,0.95,0.0344991000750845,0.001641024824384,0.0364264149031016,0.947090186252366,0.892
"scale",40,0.5,"legacy",0,11,0.769230769230769,0.923076923076923,0.0346892987312683,0.00390328477090394,0.0359785703627408,0.964165568045815,0.86
"scale",40,0.5,"SD",3,11,0.743589743589744,0.974358974358974,0.0378323779717996,0.00278730043180768,0.0357178929155282,1.05919960231899,0.862
"scale",40,0.5,"legacy",0,12,0.75,0.925,0.0389579341362926,-0.000132478659754913,0.0381240713139036,1.02187234452279,0.874
"scale",40,0.5,"SD",3,12,0.75,0.95,0.0367172683706589,-0.000975135279432646,0.0379098570619381,0.968541461674976,0.87
