"method","rep","d0","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","cluster_cov80","elapsed_sec"
"GLM",1,0,0.1,0.15,0.093479197589316,0.0148135368407494,0.00844182873727331,11.0733349963114,0.814,2.6767590045929
"GLMM-iCAR",1,0,0.8,0.95,0.0324187446207041,0.0130188687316925,0.0335817182857145,0.965368845777463,0.87,1.70444512367249
"GLMM-SPDE",1,0,0.7,0.85,0.0379366738098987,0.00663807218789944,0.0257684262476721,1.47221539434625,0.9,3.82194519042969
"Vanilla-BART",1,0,0.3,0.5,0.0611184147610176,0.0169565391072647,0.0190720797566726,3.20460146668769,0.95,1.34804916381836
"disaggregation",1,0,0.55,0.75,0.0413946249111865,0.0103399136880849,0.0266218334297016,1.55491262540179,0.882,30.3578000068665
"RF-GLS",1,0,0.9,0.95,0.0414742091408251,0.0229033717190973,0.0502372676650748,0.82556657773126,1,483.930269002914
"BARTSIMP-PG",1,0,0.7,0.95,0.0336299542658901,0.0094842349846408,0.0285525965963797,1.17782472611105,1,38.2107479572296
"BARTSIMP-PG-SD",1,3,0.75,0.85,0.0340952518973649,0.0108348945287844,0.0280089113379618,1.21730014729826,1,37.7572159767151
