"method","rep","d0","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","cluster_cov80","pixel_cov80","elapsed_sec"
"BARTSIMP-PG-SD",7,3,0.8,0.9,0.0392117224704632,-0.00193419954902849,0.0298676614613874,1.31284876524919,1,0.874,37.8067939281464
"GLM",8,0,0.05,0.1,0.0757220355183728,0.00373344062043597,0.00791269960312362,9.56968409220044,0.834,0.108,1.34161520004272
"GLMM-iCAR",8,0,0.7,0.75,0.0537868986301231,0.00677532608374714,0.0269364773545613,1.99680522148955,0.852,0.204,2.00955200195312
"GLMM-SPDE",8,0,0.55,0.8,0.042291695972054,0.00815833039430749,0.0276535074653479,1.52934292422214,0.964,0.688,3.63897109031677
"Vanilla-BART",8,0,0.2,0.35,0.0690576081897357,0.00638183369652197,0.0174084413405059,3.96690357505198,0.966,0.72,1.33276510238647
"BARTSIMP-PG",8,0,0.7,0.8,0.039151186887121,0.0053753148081526,0.0275895568673907,1.41905819927813,1,0.848,37.1420760154724
"BARTSIMP-PG-SD",8,3,0.7,0.85,0.0387661701990775,0.00583093012371569,0.027470309291592,1.41120253825984,1,0.862,37.8576619625092
"GLM",9,0,0.0526315789473684,0.105263157894737,0.0585264356560163,-3.41823366168604e-06,0.00750626504983039,7.79701159864303,0.852,0.144,1.31229591369629
"GLMM-iCAR",9,0,0.578947368421053,0.842105263157895,0.036365979660691,-0.00412262439033539,0.0265563166577181,1.36939094865485,0.88,0.272,1.97248196601868
"GLMM-SPDE",9,0,0.736842105263158,0.947368421052632,0.0241861725792626,-0.000826018076766727,0.0235814195614651,1.02564531860438,0.92,0.434,3.19937300682068
"Vanilla-BART",9,0,0.210526315789474,0.421052631578947,0.0476569467927098,-0.00112838976058814,0.0162782870365591,2.92763892697543,0.966,0.726,1.3659839630127
"BARTSIMP-PG",9,0,0.789473684210526,0.894736842105263,0.0251442413475311,-0.00497877333167984,0.0280981636681772,0.894871339083569,0.998,0.864,38.3509287834167
"BARTSIMP-PG-SD",9,3,0.736842105263158,0.947368421052632,0.0227780751013866,-0.00204079525956672,0.0276909868406203,0.822580835868699,0.998,0.864,39.4644038677216
"GLM",10,0,0.15,0.15,0.068304536616815,0.00134089833007076,0.00767850463473306,8.89555191616937,0.826,0.122,1.25380611419678
"GLMM-iCAR",10,0,0.85,0.95,0.0231702210111933,-0.00111241162075959,0.0296214206103666,0.782211674313973,0.862,0.248,1.58405995368958
"GLMM-SPDE",10,0,0.85,0.95,0.0224552109278613,0.000111017957363715,0.0258506260946569,0.868652497840377,0.92,0.49,3.3393280506134
"Vanilla-BART",10,0,0.25,0.3,0.0489768519284388,0.00076986705787391,0.0177497922107816,2.75929156504092,0.96,0.71,1.28031992912292
"BARTSIMP-PG",10,0,0.85,1,0.0205843469716259,-0.0028972145043882,0.0269893671434843,0.762683573208396,1,0.896,35.4961850643158
"BARTSIMP-PG-SD",10,3,0.9,0.95,0.0206885903461494,-0.000862551877902423,0.0267572956788753,0.773194368909371,0.998,0.892,35.6326110363007
